City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
360,utrik,11.2278,169.8474,82.74,78,100,15.61,MH,1691370981
361,tenenkou,14.4572,-4.9169,77.95,66,100,7.92,ML,1691370981
362,florence,43.7667,11.25,68.23,86,40,4.61,IT,1691370981
363,quang ngai,15.1167,108.8,89.13,54,100,5.97,VN,1691370981
364,lospalos,-8.5186,127.0025,74.35,68,6,14.29,TL,1691370982
365,dolinsk,47.35,142.8,66.83,64,0,4.65,RU,1691370982
366,kinkala,-4.3614,14.7644,67.82,69,5,3.33,CG,1691370982
367,letlhakane,-21.4167,25.5833,52.5,67,59,9.19,BW,1691370982
368,dakhla,23.6848,-15.958,67.32,94,2,11.74,EH,1691370725
369,lensk,60.7253,114.9278,68.83,83,94,4.83,RU,1691370983
370,conception bay south,47.4999,-52.9981,60.04,97,100,5.08,CA,1691370983
371,brezina,33.0989,1.2608,83.71,25,0,4.29,DZ,1691370983
372,tidjikja,18.5564,-11.4271,90.39,31,97,14.7,MR,1691370983
373,dudinka,69.4058,86.1778,69.62,55,8,1.86,RU,1691370983
374,shubarshi,48.5872,57.1869,72.43,52,57,11.9,KZ,1691370984
375,la sarre,48.8002,-79.1996,63.03,57,99,4.21,CA,1691370984
376,gobabis,-22.45,18.9667,50.59,32,5,10.96,NA,1691370984
377,ilha de mocambique,-15.0342,40.7358,73.94,82,99,13.53,MZ,1691370984
378,sorong,-0.8833,131.25,79.65,80,100,17.96,ID,1691370782
379,den burg,53.0542,4.7972,58.98,89,75,18.41,NL,1691370984
380,kuta,-8.7233,115.1723,80.55,83,20,15.01,ID,1691370985
381,koryazhma,61.3143,47.1691,61.38,86,82,3.15,RU,1691370746
382,clarion,41.2148,-79.3853,74.66,89,100,6.04,US,1691370985
383,akobo,7.4344,3.9497,71.33,98,100,3.89,NG,1691370985
384,kita,13.0349,-9.4895,70.57,91,100,3.0,ML,1691370985
385,gebeit,21.0667,36.3167,85.32,30,1,4.47,SD,1691370985
386,kani keli,-12.9536,45.1033,76.26,72,2,16.82,YT,1691370986
387,tarawa,1.419,172.984,87.89,70,40,3.44,KI,1691370986
388,tadine,-21.55,167.8833,70.11,68,56,16.17,NC,1691370986
389,klyuchi,52.2667,79.1667,60.49,65,0,8.57,RU,1691370986
390,basco,20.4487,121.9702,82.45,87,27,27.56,PH,1691370986
391,bandarbeyla,9.4942,50.8122,76.24,77,12,28.43,SO,1691370986
392,yeppoon,-23.1333,150.7333,73.18,63,0,14.38,AU,1691370987
393,santa ines,-3.6667,-45.38,77.63,79,56,4.92,BR,1691370987
394,bonthe,7.5264,-12.505,77.77,80,100,6.2,SL,1691370987
395,penrith,54.6658,-2.7576,54.34,92,0,1.36,GB,1691370987
396,myrhorod,49.9685,33.6089,79.29,45,0,17.45,UA,1691370987
397,cukai,4.25,103.4167,82.35,79,86,2.57,MY,1691370987
398,una,20.8167,71.0333,79.02,83,100,17.13,IN,1691370988
399,punta del este,-34.9667,-54.95,57.31,85,100,11.01,UY,1691370988
400,yarmouth,41.7057,-70.2286,72.0,77,0,9.22,US,1691370988
401,ilulissat,69.2167,-51.1,46.42,61,18,0.0,GL,1691370988
402,igunga,-4.2833,33.8833,66.51,60,10,7.76,TZ,1691370988
403,dubreka,9.7911,-13.5233,76.35,95,100,1.88,GN,1691370989
404,severo-yeniseyskiy,60.3725,93.0408,48.6,96,100,3.22,RU,1691370989
405,nizhneangarsk,55.7833,109.55,60.39,72,46,1.59,RU,1691370989
406,nishinoomote,30.7333,131.0,81.16,100,75,13.8,JP,1691370989
407,ayame,5.6083,-3.1563,71.47,98,96,3.36,CI,1691370989
408,la manga del mar menor,37.6413,-0.7165,80.6,81,20,8.05,ES,1691370990
409,hefei,31.8639,117.2808,85.23,77,26,7.27,CN,1691370840
410,indiana,40.0003,-86.2503,74.79,86,40,0.0,US,1691370990
411,santa elena de uairen,4.6167,-61.1333,69.33,85,49,2.37,VE,1691370990
412,nyrob,60.733,56.7202,62.4,88,95,4.03,RU,1691370990
413,zaozersk,69.4005,32.4476,51.69,82,100,6.17,RU,1691370990
414,port macquarie,-31.4333,152.9167,65.89,67,66,10.04,AU,1691370714
415,novodvinsk,64.4165,40.8122,53.47,91,100,3.8,RU,1691370991
416,mossel bay,-34.1831,22.146,48.13,82,0,5.06,ZA,1691370991
417,phongsali,21.6833,102.1058,63.07,100,100,1.92,LA,1691370991
418,chrzanow,50.1355,19.402,59.23,95,100,10.87,PL,1691370991
419,puerto baquerizo moreno,-0.9,-89.6,74.8,72,73,14.05,EC,1691370992
420,flin flon,54.7682,-101.865,68.7,52,100,5.93,CA,1691370992
421,alice springs,-23.7,133.8833,58.55,47,0,9.22,AU,1691370886
422,mancha real,37.7863,-3.6123,81.41,29,0,5.12,ES,1691370992
423,kolokani,13.5728,-8.0339,72.37,86,100,6.73,ML,1691370992
424,san juan,-31.5375,-68.5364,60.24,29,4,10.87,AR,1691370809
425,punaauia,-17.6333,-149.6,82.04,65,40,9.22,PF,1691370993
426,amalapuram,16.5833,82.0167,81.39,74,97,7.47,IN,1691370993
427,sarangani,5.4033,125.4636,83.12,75,99,13.38,PH,1691370993
428,denbigh,53.1833,-3.4167,57.11,94,10,4.79,GB,1691370994
429,kerikeri,-35.2268,173.9474,57.9,87,100,1.99,NZ,1691370994
430,la rioja,42.25,-2.5,47.98,81,6,4.07,ES,1691370994
431,colonia,50.9333,6.95,56.05,89,100,17.27,DE,1691370945
432,barclayville,4.6797,-8.2339,76.17,82,77,4.68,LR,1691370994
433,bestobe,52.4994,73.0975,64.02,57,0,7.67,KZ,1691370994
434,queenstown,-31.8976,26.8753,47.35,57,0,2.24,ZA,1691370995
435,palmerston north,-40.35,175.6167,54.77,83,100,3.0,NZ,1691370995
436,marshall,34.3834,-86.3333,74.91,96,0,0.0,US,1691370995
437,gadzhiyevo,69.2551,33.3362,51.6,81,99,9.44,RU,1691370995
438,bistrica ob sotli,46.0589,15.6642,60.06,92,100,2.26,SI,1691370996
439,caleta de carquin,-11.0925,-77.6267,66.43,79,52,9.57,PE,1691370996
440,trenggalek,-8.05,111.7167,74.62,89,89,5.73,ID,1691370996
441,keflavik,64.0049,-22.5624,52.23,93,75,6.91,IS,1691370996
442,ulan bator,47.9077,106.8832,59.13,82,40,2.24,MN,1691370707
443,freeport,40.6576,-73.5832,77.97,77,0,10.36,US,1691370996
444,ayios konstandinos,38.6333,21.4,59.11,75,0,3.94,GR,1691370996
445,portland,45.5234,-122.6762,84.58,55,20,8.05,US,1691370765
446,zhuanghe,39.7008,122.9911,75.97,72,81,8.21,CN,1691370997
447,klaksvik,62.2266,-6.589,52.72,90,99,10.11,FO,1691370997
448,kone,-21.0595,164.8658,76.05,46,11,7.61,NC,1691370997
449,el bolson,-41.9667,-71.5167,35.31,91,2,3.83,AR,1691370997
450,finley,46.154,-119.0339,88.27,45,0,4.61,US,1691370997
451,mamuju,-2.6748,118.8885,82.56,73,42,1.16,ID,1691370998
452,orhaneli,39.9033,28.9906,67.77,65,0,3.11,TR,1691370998
453,fort st. john,56.2499,-120.8529,78.69,34,75,0.0,CA,1691370998
454,cockburn town,21.4612,-71.1419,84.6,85,0,19.86,TC,1691370844
455,faratsiho,-19.4,46.95,45.01,88,5,4.74,MG,1691370998
456,'ain el melh,34.8415,4.1638,74.93,32,0,4.23,DZ,1691370999
457,bathurst,-33.4166,149.5806,55.96,61,15,1.01,AU,1691370999
458,sangkhla buri,15.1555,98.4536,75.51,94,100,0.76,TH,1691370999
459,amga,60.8953,131.9608,71.62,31,10,6.22,RU,1691370999
460,choma,-16.8065,26.9531,53.38,81,3,4.7,ZM,1691370999
461,forster,-32.1667,152.5167,64.38,64,91,8.34,AU,1691371000
462,choyr,46.3611,108.3611,66.33,61,22,7.05,MN,1691371000
463,brisas de zicatela,15.8369,-97.0419,86.52,58,100,0.0,MX,1691371000
464,taco pozo,-25.6167,-63.2833,76.82,36,0,6.24,AR,1691371000
465,acapulco de juarez,16.8634,-99.8901,87.62,66,75,9.22,MX,1691370884
466,dondo,-19.6094,34.7431,63.91,94,1,2.95,MZ,1691371000
467,worland,44.0169,-107.9554,65.55,68,100,10.36,US,1691370894
468,cunha,-23.0744,-44.9597,61.48,63,0,2.51,BR,1691371001
469,qamdo,31.1667,97.2333,46.78,69,83,2.98,CN,1691371001
470,sao vicente,-23.9631,-46.3919,82.58,26,0,2.8,BR,1691370810
471,morant bay,17.8815,-76.4093,84.7,83,2,8.99,JM,1691371001
472,horta,38.5333,-28.6333,69.03,84,22,5.99,PT,1691371001
473,kailua-kona,19.6406,-155.9956,85.5,72,0,10.36,US,1691371001
474,itoman,26.1247,127.6694,82.42,89,75,29.93,JP,1691371001
475,majie,25.0333,102.6361,64.38,100,75,8.95,CN,1691371002
476,kenai,60.5544,-151.2583,63.14,95,75,11.5,US,1691371002
477,ust'-ilimsk,58.0006,102.6619,59.81,68,94,1.83,RU,1691370926
478,kalevala,65.2,31.1667,57.81,83,88,7.85,RU,1691371002
479,olyokminsk,60.3736,120.4264,76.14,57,100,1.95,RU,1691371002
480,nogliki,51.8333,143.1667,69.94,52,3,10.38,RU,1691371002
481,garoua boulai,5.8833,14.55,64.89,99,100,4.83,CM,1691371003
482,linqiong,30.4159,103.4609,78.62,81,100,1.99,CN,1691371003
483,porto recanati,43.4365,13.6613,66.97,48,0,6.91,IT,1691371003
484,sudzha,51.1976,35.2726,75.6,52,0,17.02,RU,1691371003
485,chany,55.3121,76.7647,62.06,65,83,5.79,RU,1691371003
486,vygonichi,53.0985,34.0673,73.22,62,2,13.33,RU,1691371003
487,imbituba,-28.24,-48.6703,64.87,82,0,10.38,BR,1691371004
488,malabar,-33.9667,151.25,64.02,70,93,13.04,AU,1691371004
489,ngala,12.3377,14.1805,77.14,79,100,10.78,NG,1691371004
490,vihari,30.0333,72.35,88.23,55,10,16.53,PK,1691371004
491,maba,24.6841,113.5984,87.33,67,4,2.33,CN,1691371004
492,sebdou,34.637,-1.3314,65.5,29,1,3.8,DZ,1691371004
493,shache,38.4167,77.2406,74.71,47,100,3.69,CN,1691371005
494,mont belvieu,29.8477,-94.8908,93.92,59,45,13.27,US,1691370751
495,turochak,52.2576,87.1224,61.48,90,66,1.72,RU,1691371005
496,sinop,41.7711,34.8709,72.45,55,0,4.12,TR,1691371005
497,cidreira,-30.1811,-50.2056,65.84,77,5,5.32,BR,1691371005
498,los chavez,34.727,-106.7384,100.35,11,99,10.0,US,1691371005
499,ca mau,9.1769,105.15,84.15,71,100,8.81,VN,1691371005
500,sylvan lake,52.3168,-114.0853,72.36,54,20,8.05,CA,1691371006
501,san juan bautista,-14.0108,-75.7358,68.22,62,4,1.83,PE,1691371006
502,bengkulu,-3.8004,102.2655,75.6,86,65,3.27,ID,1691371006
503,isla vista,34.4133,-119.861,91.9,57,0,4.61,US,1691371006
504,itaguai,-22.8522,-43.7753,65.82,100,20,2.3,BR,1691371006
505,gaigeturi,33.4644,126.3183,87.85,74,40,6.91,KR,1691371006
506,tashtagol,52.7657,87.8894,60.96,86,16,1.16,RU,1691371006
507,bhamo,24.2667,97.2333,74.59,100,100,1.05,MM,1691371007
508,mar del plata,-38.0023,-57.5575,51.1,76,0,11.5,AR,1691371007
509,puerto leguizamo,-0.1934,-74.7819,71.71,94,100,2.19,CO,1691371007
510,ellsworth,44.5434,-68.4195,68.54,79,0,0.0,US,1691371007
511,raja,8.4596,25.678,68.31,97,78,2.59,SS,1691371007
512,illizi,26.4833,8.4667,89.4,23,0,6.73,DZ,1691371007
513,madara,11.7798,10.4479,73.56,86,100,8.21,NG,1691371007
514,faranah,10.0404,-10.7434,70.23,98,95,7.92,GN,1691371008
